"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Sri",0,0.48624597668242,0.64,0.458,0
"Sema3c",0,0.563826327932229,0.705,0.566,0
"Srpk2",0,0.476203943245552,0.458,0.293,0
"Fastk",0,0.442707246820293,0.688,0.514,0
"Agap3",0,0.488021388593603,0.651,0.469,0
"Rnf32",0,0.649783313268741,0.508,0.352,0
"Preb",0,0.416801968908693,0.617,0.452,0
"Gtf3c2",0,0.470225705959012,0.804,0.632,0
"Krtcap3",0,0.405610507703849,0.797,0.653,0
"Fam193a",0,0.448727900336687,0.541,0.364,0
"Add1",0,0.452235510677407,0.622,0.448,0
"Rgs12",0,0.603791062505198,0.452,0.265,0
"Sorcs2",0,0.652981970340085,0.596,0.433,0
"Dhx15",0,0.417224717884049,0.648,0.478,0
"Fryl",0,0.501220563500328,0.674,0.499,0
"Exoc1",0,0.524350399841167,0.552,0.357,0
"Ankrd17",0,0.418999478930554,0.655,0.487,0
"Hnrnpd",0,0.431229436901791,0.733,0.568,0
"Sec31a",0,0.41205335495587,0.612,0.445,0
"Coq2",0,0.469917053101333,0.468,0.297,0
"Gtpbp6",0,0.464757169140668,0.576,0.398,0
"Chfr",0,0.499569130090967,0.555,0.368,0
"Fbrsl1",0,0.45736164918646,0.455,0.289,0
"Git2",0,0.567011937444567,0.51,0.31,0
"Rnf10",0,0.499403935614639,0.757,0.585,0
"Gcn1",0,0.42657095810553,0.674,0.501,0
"Suds3",0,0.445826432264506,0.634,0.453,0
"Trafd1",0,0.527729950963162,0.537,0.369,0
"Atp2a2",0,0.373769203159088,0.743,0.598,0
"Rsrc2",0,0.428997526540215,0.77,0.604,0
"Hip1r",0,0.425298447294938,0.629,0.467,0
"Ncor2",0,0.471569282257463,0.74,0.56,0
"Sfswap",0,0.500310633675467,0.644,0.451,0
"Gtf2i",0,0.562939679116885,0.757,0.581,0
"Abhd11",0,0.452205764820613,0.695,0.529,0
"Fis1",0,0.448820386225868,0.502,0.334,0
"Srrt",0,0.41958518603708,0.826,0.685,0
"Gigyf1",0,0.527182683876541,0.828,0.657,0
"Pcolce",0,0.776260580457367,0.435,0.27,0
"Lrch4",0,0.462657771070143,0.807,0.666,0
"Sap25",0,0.485047016062664,0.548,0.382,0
"Pdgfa",0,0.584629382816851,0.596,0.437,0
"Sun1",0,0.447538764856646,0.504,0.333,0
"Trrap",0,0.468085050707139,0.591,0.413,0
"Smurf1",0,0.450857939793023,0.423,0.262,0
"Zfp655",0,0.44738523535504,0.576,0.408,0
"Nrbp1",1.36064415207443e-307,0.426561293705275,0.51,0.346,2.45990856253537e-303
"Wdfy3",1.71154013217699e-306,0.418514094231546,0.537,0.379,3.09429340496277e-302
"Med13l",3.16264084080646e-306,0.391685517881702,0.683,0.528,5.717738376094e-302
"Rbm33",2.78224920729191e-299,0.366637028563953,0.714,0.566,5.03002834186305e-295
"Cdk5",2.63700928416602e-298,0.418021356585891,0.526,0.365,4.76744908484375e-294
"Htt",5.55216133073706e-298,0.406122759518674,0.533,0.372,1.00377524698395e-293
"Muc13",9.80550915455705e-291,-0.543414600356623,0.557,0.69,1.77273800005237e-286
"Atp6v0a2",1.87419802006099e-290,0.404307812571532,0.47,0.311,3.38836260046826e-286
"Fbxw8",7.46326768674313e-289,0.382482292573081,0.546,0.384,1.34928416508629e-284
"Baiap2l1",6.47480086557063e-288,0.429193040343754,0.539,0.382,1.17057924848651e-283
"Anapc4",3.35135682086586e-287,0.411753660915296,0.427,0.274,6.0589179964434e-283
"Ccnd2",5.00479398254856e-287,-0.58695051749765,0.387,0.522,9.04816704104953e-283
"Fip1l1",8.00951109901488e-286,0.395248585575443,0.489,0.33,1.4480395115909e-281
"Ube3c",3.04209220268211e-285,0.413514386312459,0.417,0.265,5.49979849322898e-281
"Mapre3",3.91998636484306e-285,0.44122449166254,0.264,0.138,7.08694334899976e-281
"Lrrc66",1.41521215934955e-281,0.526725589691593,0.461,0.319,2.55856206288806e-277
"Srsf9",1.25610195177364e-280,0.394168197335046,0.546,0.39,2.27090671861156e-276
"Atg9b",3.00144038345274e-280,0.506146018218257,0.821,0.774,5.4263040692442e-276
"Cdk8",2.81665864733282e-277,0.4145213868176,0.48,0.331,5.092237168513e-273
"Vps37b",5.83971006193834e-277,0.41560787953485,0.433,0.284,1.05576118209783e-272
"Guf1",8.82204186937997e-275,0.403348800757634,0.388,0.243,1.5949369495652e-270
